symbol,name,nifty200_member,model_version,historical_bar_count,start_date,end_date,signal_count,target_count,stop_count,status
IRB,IRB Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
IRCTC,IRCTC Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
IRFC,IRFC Limited,NIFTY_200,202609090845,989,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
ITC,ITC Limited,NIFTY_200,202609090845,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
JINDALSTEL,JINDALSTEL Limited,NIFTY_200,202609090846,989,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
JSWENERGY,JSWENERGY Limited,NIFTY_200,202609090846,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
JSWSTEEL,JSWSTEEL Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
JUBLFOOD,JUBLFOOD Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
KALYANKJIL,KALYANKJIL Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
KARURVYSYA,KARURVYSYA Limited,NIFTY_200,202609090846,989,2021-09-09,2026-09-07,0,,,V22_CONDITION_NOT_MET
KEI,KEI Limited,NIFTY_200,202609090846,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
KOTAKBANK,KOTAKBANK Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
KPITTECH,KPITTECH Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
L&TFH,L&TFH Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
LICHSGFIN,LICHSGFIN Limited,NIFTY_200,,251,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
LICI,LICI Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
LT,LT Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
LUPIN,LUPIN Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
M&M,M&M Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
M&MFIN,M&MFIN Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
MANAPPURAM,MANAPPURAM Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
MARICO,MARICO Limited,NIFTY_200,202609090846,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
MAZDOCK,MAZDOCK Limited,NIFTY_200,,251,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
MFSL,MFSL Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
MGL,MGL Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
MPHASIS,MPHASIS Limited,NIFTY_200,,251,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
MRF,MRF Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
NATIONALUM,NATIONALUM Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
NAVINFLUOR,NAVINFLUOR Limited,NIFTY_200,,251,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
NESTLEIND,NESTLEIND Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
NHPC,NHPC Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
NMDC,NMDC Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
NTPC,NTPC Limited,NIFTY_200,202609090847,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
NYKAA,NYKAA Limited,NIFTY_200,202609090847,946,2021-11-10,2026-09-09,0,,,V22_CONDITION_NOT_MET
OBEROIRLTY,OBEROIRLTY Limited,NIFTY_200,202609090847,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
OIL,OIL Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
ONGC,ONGC Limited,NIFTY_200,202609090847,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
PAGEIND,PAGEIND Limited,NIFTY_200,,250,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
PATANJALI,PATANJALI Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
PEL,PEL Limited,NIFTY_200,,211,2025-11-07,2026-09-08,0,,,MODEL_UNAVAILABLE
PERSISTENT,PERSISTENT Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
PETRONET,PETRONET Limited,NIFTY_200,,251,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
PFC,PFC Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
PHOENIXLTD,PHOENIXLTD Limited,NIFTY_200,202609090847,987,2021-09-09,2026-09-07,0,,,V22_CONDITION_NOT_MET
