symbol,name,sector,index_membership,model_name,record_count,first_date,last_date,champion_model_available,historical_data_available,V22_eligible
ASTRAL,ASTRAL Limited,,NIFTY_200,,250,2025-09-08,2026-09-04,False,True,MODEL_UNAVAILABLE
ASHOKLEY,ASHOKLEY Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
GRASIM,GRASIM Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
HAL,HAL Limited,,NIFTY_200,HAL_rf_202609090844.joblib,989,2021-09-09,2026-09-08,True,True,ELIGIBLE
HAVELLS,HAVELLS Limited,,NIFTY_200,,251,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
HCLTECH,HCLTECH Limited,,NIFTY_200,HCLTECH_rf_202609090844.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
HDFCBANK,HDFCBANK Limited,,NIFTY_200,HDFCBANK_rf_202609090641.joblib,249,2024-09-09,2026-09-09,True,True,ELIGIBLE
HDFCLIFE,HDFCLIFE Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
HINDALCO,HINDALCO Limited,,NIFTY_200,,251,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
HINDCOPPER,HINDCOPPER Limited,,NIFTY_200,HINDCOPPER_rf_202609090845.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
HINDPETRO,HINDPETRO Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
HINDUNILVR,HINDUNILVR Limited,,NIFTY_200,,251,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
HUDCO,HUDCO Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
ICICIBANK,ICICIBANK Limited,,NIFTY_200,ICICIBANK_rf_202609090641.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
ICICIGI,ICICIGI Limited,,NIFTY_200,ICICIGI_rf_202609090845.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
