symbol,signal_date,direction,entry,stop,exit,raw_profit,stop_breached,triggered_at,bars_available,extreme_gap_count,first_gap_pct
NMDC,2024-06-24T00:00:00,LONG,89.9000015258789,87.20300148010254,61.310001373291016,-31.802001854647223,2024-06-26T00:00:00,NO,200,0,0.0
NMDC,2024-12-13T00:00:00,LONG,80.26333618164062,77.8554360961914,76.16000366210938,-5.112337356928658,2024-12-16T00:00:00,NO,200,0,0.0
NMDC,2025-04-11T00:00:00,SHORT,61.310001373291016,63.14930141448975,84.5999984741211,-37.98727218912784,2025-04-15T00:00:00,NO,200,0,0.0
NMDC,2025-09-01T00:00:00,SHORT,68.80000305175781,70.86400314331055,88.41999816894531,-28.517433498407698,2025-09-03T00:00:00,NO,200,0,0.0
NTPC,2020-11-05T00:00:00,SHORT,86.80000305175781,89.40400314331055,113.4000015258789,-30.645158454959763,2020-11-09T00:00:00,NO,200,0,0.0
NTPC,2020-11-06T00:00:00,SHORT,87.30000305175781,89.91900314331055,114.94999694824219,-31.672385944925384,2020-11-10T00:00:00,NO,200,0,0.0
NTPC,2021-02-02T00:00:00,SHORT,94.1500015258789,96.97450157165528,135.1999969482422,-43.60063171223626,2021-02-03T00:00:00,NO,200,0,0.0
NTPC,2022-02-24T00:00:00,SHORT,124.4000015258789,128.13200157165528,169.8000030517578,-36.49517762781888,2022-02-25T00:00:00,NO,200,0,0.0
NTPC,2024-10-23T00:00:00,LONG,415.75,403.2775,336.1499938964844,-19.146122935301413,2024-10-24T00:00:00,NO,200,0,0.0
OIL,2022-06-10T00:00:00,LONG,200.13333129882812,194.12933135986327,175.3000030517578,-12.408391988434223,2022-06-13T00:00:00,NO,200,0,0.0
OIL,2024-09-02T00:00:00,LONG,741.0,718.77,464.8999938964844,-37.260459663092526,2024-09-03T00:00:00,NO,200,0,0.0
ONGC,2020-11-20T00:00:00,SHORT,71.6500015258789,73.79950157165527,123.94999694824219,-72.99371152626327,2020-11-23T00:00:00,NO,200,0,0.0
ONGC,2020-11-24T00:00:00,SHORT,76.0999984741211,78.38299842834473,128.6999969482422,-69.1195788814746,2020-11-25T00:00:00,NO,200,0,0.0
ONGC,2022-04-22T00:00:00,LONG,174.0,168.78,143.89999389648438,-17.298854082480243,2022-04-25T00:00:00,NO,200,0,0.0
ONGC,2022-06-10T00:00:00,LONG,164.64999389648438,159.71049407958984,149.35000610351562,-9.292431436461436,2022-06-13T00:00:00,NO,200,0,0.0
ONGC,2022-07-06T00:00:00,SHORT,120.94999694824219,124.57849685668945,158.9499969482422,-31.417942090780905,2022-07-08T00:00:00,NO,200,0,0.0
ONGC,2024-09-04T00:00:00,LONG,322.20001220703125,312.5340118408203,243.9199981689453,-24.295472089487916,2024-09-05T00:00:00,NO,200,0,0.0
ONGC,2024-09-09T00:00:00,LONG,308.79998779296875,299.5359881591797,242.8300018310547,-21.363338267403964,2024-09-10T00:00:00,NO,200,0,0.0
ONGC,2025-04-11T00:00:00,SHORT,221.94000244140625,228.59820251464845,275.3900146484375,-24.083090753836697,2025-04-15T00:00:00,NO,200,0,0.0
PATANJALI,2022-04-06T00:00:00,SHORT,251.75,259.3025,402.7166748046875,-59.9669016106008,2022-04-07T00:00:00,NO,200,0,0.0
